pelicula,genero,duracion,presupuesto,recaudacion,director,fecha_nac_director,actor_protagonista,fecha_nac_prota
Take a Giant Step,Fantasía,1.94,5944918.92,16787530.38,Beale Naylor,12/23/2014,Ewen Naper,8/26/1942
Night on Earth,Histórico,2.18,10520111.92,30466695.21,Winslow Radcliffe,9/16/1951,Chelsy Korfmann,4/19/1976
"Awakening, The",Suspense,1.48,20285284.22,38404983.77,Marquita Soutar,7/2/1983,Jorrie Jobke,8/17/1988
"House of Exorcism, The (a.k.a. Lisa and the Devil) (Casa dell'esorcismo, La)",Drama,1.26,11502515.1,19936857.64,Ingaborg Brosius,1/15/1973,Bryan Backsal,2/27/1994
On the Road,Romance,1.56,27282737.68,46961413.33,Paulie Merrigans,3/10/1959,Demetris Rainon,7/15/1957
All Good Things,Musical,3.13,15233401.83,20114137.45,Lindi Danbury,6/17/1987,Chan MacCoveney,1/28/1932
Daens,Terror,2.4,10593966.1,29434179.05,Homerus Tuttle,9/21/1959,Ezekiel Pye,7/14/2003
Half Baked,Western,2.07,27849159.46,61605419.65,Marthe Goschalk,9/30/1988,Giuditta Gallandre,1/27/1959
"New Adventures of Pippi Longstocking, The",Musical,1.97,12293406.23,30748623.35,Karen McGaugie,11/30/1947,Lexie McLinden,11/28/2000
Daar,Documental,3.66,17516285.89,48627882.2,Sergeant Laffan,6/23/1951,Montgomery Ferrulli,6/10/1964
"Christmas Toy, The",Romance,3.11,21428078.68,51528479.93,Opal Hearn,10/10/1953,Menard De Stoop,7/6/1991
Air Force One,Bélico,1.32,17799316.46,52780390.93,Oneida Potteril,2/29/1992,Zak Gerson,3/28/2025
Interstellar,Terror,1.1,10012398.22,26974229.39,Cindi Oaks,5/13/1979,Giordano Brownlow,2/26/1952
Modesty Blaise,Bélico,1.67,23893006.18,47549223.88,Ivar Gawne,4/1/1977,Leonelle Gebb,3/24/2017
Burning Palms,Ciencia ficción,2.34,9287391.54,15190849.58,Leesa Halpeine,3/11/1960,Jackelyn Mutch,1/11/1934
Conspirators of Pleasure (Spiklenci slasti),Comedia,2.42,13772735.41,18377596.74,Briano Waterhouse,7/7/1955,Lulita Piggens,9/3/1950
Alive,Musical,2.1,6133991.51,14066568.64,Dominic Maving,7/5/1993,Alicea Grassick,7/14/1993
Hardcore,Terror,3.55,8182134.55,14109080.94,Bertram Carbin,3/24/1964,Jackson Hankins,10/24/2000
"Crimson Petal and the White, The",Bélico,3.66,26028601.25,49746921.87,Annabelle Spall,1/25/1931,Kristin Sousa,2/6/2022
"Earth Dies Screaming, The",Comedia,1.67,20992671.72,57546288.01,Hewet Rupp,4/10/1960,Shaina Simounet,6/15/1954
Heartless,Drama,2.52,26805494.12,37135572.42,Shannon Culvey,8/21/2024,Kacey Cream,3/9/1995
Ramona and Beezus,Animación,2.02,12389901.57,28313381.09,Frans Gardner,5/8/1949,Marv Wood,6/13/1944
"Set-Up, The",Drama,2.22,15681012.2,28110812.41,Aura Dudney,8/24/1993,Daisy Geillier,10/31/1953
Child of God,Misterio,1.47,28144793.44,55586450.88,Carla Whitehorn,12/14/1996,Harriot Meikle,10/31/2025
The Man Who Played God,Suspense,1.28,14890541.46,42569078.34,Amye Aglione,4/18/1947,Kirsti Emmatt,9/13/1985
Anguish (Angustia),Drama,1.67,25776457.38,44790316.52,Benton Kuschek,3/24/2002,Darrell Golthorpp,2/27/2004
Ben X,Romance,3.8,15565211.43,44732543.35,Leshia Pettiward,12/9/2016,Ban Burdis,7/2/1933
"North and South, Book II",Suspense,1.56,22574258.65,61644056.45,Germaine Denzey,11/11/1936,Taite Moncreif,8/17/1983
From Above,Fantasía,1.29,28759945.96,73508106.13,Frank Thomton,10/7/2010,Katalin Benitti,1/7/1949
Cherry Falls,Histórico,2.26,25526079.76,35419714.02,Francoise Littledike,10/22/1957,Tymothy Wingate,3/21/2000
Bonnie and Clyde,Animación,2.42,10338667.17,18481470.37,Yves Gatfield,9/11/1932,Dianna Anersen,1/30/1972
Angel-A,Fantasía,3.08,7269979.52,11150509.99,Koenraad Krzysztofiak,4/8/1940,Kaile Froom,2/19/1981
"Thirteenth Floor, The",Aventura,3.84,13287270.14,18789413.89,Kalina Glusby,3/13/1947,Brandy Kennard,10/17/1934
Kingdom Come,Drama,2.95,6107977.39,8600895.98,Tawsha Bloy,10/20/2000,Brice Bento,8/29/1971
Return of the Living Dead 3,Romance,1.48,27181268.06,71922322.87,Isa Hainge,6/20/1978,Merissa Sea,10/26/1932
"Cannonball Run, The",Western,3.86,15034547.16,44514321.5,Lorrin Merritt,9/27/1934,Farris Gotch,10/10/1961
Torment (Hets),Documental,1.16,17645954.67,46003205.86,Merrili Innett,1/18/1962,Eba Piscot,7/26/1930
Baton Rouge (Bâton rouge),Drama,3.14,9038847.15,24144687.45,Calypso Scone,5/16/2014,Karia Antognazzi,3/24/2002
Disneyland Dream,Bélico,3.41,13786345.66,29395005.38,Olav Benedict,4/24/1983,Marisa Kuhne,2/22/2002
Live Free or Die Hard,Histórico,3.01,10177484.45,17551667.12,Skippy Josey,1/14/1992,Hillie Weiss,9/20/1969
Mother Carey's Chickens,Documental,3.19,21967196.35,40576916.58,Nicki Hoofe,12/8/1994,Jennie Gebby,1/18/1976
"Mod Squad, The",Fantasía,3.9,19255134.79,52655414.45,Bambie Maffin,1/12/2025,Essa Godilington,2/3/1952
Wild Bill,Documental,1.35,7915251.81,15898347.53,Hermina Eamer,1/20/1952,Carmelia Chellam,6/25/1949
Made of Honor,Animación,3.92,23952006.11,62874108.03,Pail Gittings,10/14/1945,Normand Bortoletti,9/24/1955
Finding a Family,Misterio,2.86,7348607.83,15763345.4,Allx Klimmek,9/30/2014,Bertram Trassler,5/27/1972
Freddy vs. Jason,Western,3.84,20629550.19,45153917.77,Rorie Wiggam,1/23/1937,Courtnay Hayhoe,7/6/1983
Tromeo and Juliet,Acción,1.97,19316798.22,52008226.44,Dom Menichino,8/3/1933,Gerti Folli,5/28/1987
Lost Highway,Comedia,2.92,28652987.89,40481645.74,Quintin Carcas,11/23/1962,Zacharia Jarrell,3/18/1948
Not Another Teen Movie,Ciencia ficción,3.71,8225388.09,24065471.18,Flinn Batstone,1/30/1938,Chastity Pfeiffer,9/27/2021
Mother of George,Drama,1.59,29987716.48,56680560.97,Drona Preston,3/21/1975,Lorita Chatres,1/14/2009
American Winter,Comedia,1.48,26378263.86,48163323.63,Brennan Sansum,2/13/2015,Mozes Firminger,11/15/1952
Razortooth,Misterio,1.21,19872566.24,26126403.67,Josi Caswill,7/1/1933,Stefanie Krol,7/11/1997
The Face Behind the Mask,Western,1.47,8204130.22,13069593.56,Sharron Macartney,7/1/2024,Farlee Leaning,6/5/2012
Pretty Poison,Histórico,3.12,11446533.57,26854993.91,Sam Stuchburie,5/17/1942,Ric McGlaud,7/29/2005
Tony,Drama,1.27,12045867.21,16661542.7,Blithe Bloomfield,1/29/2022,Georgeanna Bury,7/16/1932
Corto Maltese in Siberia (Corto Maltese - La cour secrète des Arcanes),Musical,1.11,6872432.86,11016561.26,Marje Nertney,4/13/2025,Marsha Zapata,11/26/1960
Happy Together,Bélico,1.23,24756901.47,70499886.33,Hardy Coffey,8/23/1982,Florri Tillman,2/3/2021
Madeinusa,Bélico,3.8,6482302.48,11973324.82,Friedrick Olivari,10/30/1960,Alano Baggalley,11/11/1958
Wonderland,Documental,2.74,15384590.36,40259088.04,Elfrida Burcombe,5/21/1942,Brice Pilsworth,7/23/1997
+1,Cine negro,1.93,26422868.81,62984655.16,Kenton Greatbank,8/7/2009,Dedra Nolli,3/8/1965
Smokey and the Bandit,Histórico,1.59,25419067.3,36197322.11,Uriah Fellgett,4/3/1973,Conan Stockport,7/26/2013
Breaking Point,Documental,2.71,23372356.56,43585750.82,Theodora Gay,1/26/1981,Vincenty Clarridge,3/4/1985
"Story of Seabiscuit, The",Ciencia ficción,1.33,11928560.44,35395436.75,Denni Heigl,5/19/2010,Stanislaw Minelli,2/22/1977
Bones Brigade: An Autobiography,Misterio,1.16,28784453.32,47860924.45,Tully Ziebart,10/28/1970,Skye Reolfi,5/24/1955
Close My Eyes,Suspense,2.69,23623041.22,40639493.38,Ediva Dowtry,1/25/1970,Poul Ryton,3/20/1960
"Run of the Country, The",Suspense,3.01,24574119.42,67653789.76,Sonja Balme,5/29/1997,Lyndel Lote,8/13/1946
Modify ,Cine negro,3.94,26115402.08,66205199.4,Herbert Needham,11/20/1959,Vittoria Ibeson,10/5/1951
Daydreams,Bélico,2.47,14145325.19,36289566.79,Mycah Karolovsky,12/7/1950,Teodoro McAllister,11/6/1956
In Cold Blood,Misterio,1.45,10685236.36,27456047.96,Thibaud Sustins,3/5/1989,Remington Prendeguest,3/18/1982
Money (L'argent),Acción,1.04,9569062.08,18511366.94,Glori Iveagh,12/7/1982,Sheppard Cloney,10/20/1960
Creature,Comedia,2.87,7421280.82,20996125.73,Lark Bainbridge,12/11/2020,Mikael Kenset,9/14/1931
Daddy (Tato),Aventura,3.73,6715790.66,17382880.11,Noell Georgeon,12/13/1973,Dugald Mineghelli,2/7/1973
Strike Up the Band,Drama,3.44,22298430.09,54104187.79,Elfreda Geelan,2/4/2014,Ashley Bridal,3/25/1938
The Living Idol,Cine negro,2.33,25774281.58,63309553.94,Merl MacKeeg,11/8/1937,Lira Corrado,12/30/2005
Nothing to Lose (a.k.a. Ten Benny),Aventura,2.63,10896690.64,20011455.73,Elyse Shevlin,7/1/1938,Joshuah Eykelbosch,9/21/2019
"Peacekeeper, The",Drama,2.48,25107731.67,59604020.11,Christie Charlin,2/23/1982,Leonerd Philipard,3/28/1969
Arabian Nights,Aventura,3.95,15383689.89,23973765.6,Grissel Rubinshtein,10/13/1969,Barclay Roughsedge,9/7/1930
Papillon,Comedia,1.67,11143379.37,32932787.94,Gasparo Collumbell,4/25/1999,Charmian Gass,5/16/1965
Malibu's Most Wanted,Western,2.73,5109833.67,11328926.86,Cyril MacAlester,9/24/1995,Olwen Boyda,3/10/1952
Remember Me (Ricordati di me),Misterio,1.83,28737731.3,39512396.69,Kip Bissill,12/31/1934,Bertrando Kleinhandler,10/26/1942
The Anomaly,Animación,2.36,25640822.03,56372086.87,Bette Aucoate,5/24/1978,Tonie Hagstone,3/5/1965
"Goodbye, Dragon Inn (Bu san)",Suspense,1.19,14241113.58,22412239.23,Moshe Porkiss,12/17/2017,Teresita Sivyour,7/28/2008
True Love,Acción,2.19,14548695.39,41737676.6,Trenna Rottenbury,7/8/1951,Thacher O'Hdirscoll,1/5/2005
Spy Kids 3-D: Game Over,Suspense,1.82,27877921.78,46694031.22,Poul Feavearyear,4/29/1984,Timmie McDuffy,12/11/2000
New Gladiators (I guerrieri dell'anno 2072),Aventura,3.63,6328989.94,9072387.5,Danette Tsar,2/28/1947,Vita Easthope,5/26/1958
Black Venus,Musical,3.16,17315944.77,45839446.61,Rosabelle Ipwell,8/14/1996,Sherill Acott,6/27/1959
"Story of Film: An Odyssey, The",Fantasía,3.93,13836492.47,31275251.3,Filmore Foggo,6/9/2016,Kora Baudet,11/8/1967
Dracula Has Risen from the Grave,Western,2.63,12274078.0,26856706.6,Jeremias Keaton,10/26/1991,Ernaline Dundon,4/7/1931
"Lives of Others, The (Das leben der Anderen)",Romance,1.26,12158788.67,24061432.25,Gwenore Dorant,4/13/1965,Jermaine Chipman,9/14/2008
"¡Alambrista! (Illegal, The)",Ciencia ficción,1.9,5897695.99,13704668.47,Pat Andrivot,5/5/2010,Augie Leary,11/2/1990
Scissere,Bélico,3.15,20204078.92,57497501.43,Brander Rattry,7/30/1994,Glynn Casiroli,9/17/1992
"Bandit, The (Eskiya)",Western,2.53,10688506.43,24033326.64,Caldwell Duckett,4/6/1954,Tessie Ashman,1/29/1959
Breaking Upwards,Misterio,1.51,23630072.37,35490936.33,Katharyn Thairs,4/13/2005,Whitney Gohier,2/21/1973
All American Orgy (Cummings Farm),Animación,1.84,10077230.52,22946453.24,Trefor Mattiato,7/7/1995,Inesita Balderson,6/2/1950
Tales of Terror (Kaidan Shin Mimibukuro),Cine negro,1.77,16307093.73,32830494.56,Minette Le Brun,8/25/1990,Bendick Hazell,6/25/1968
Quality Street,Documental,1.62,23892383.9,54029899.18,Querida Weale,6/4/1969,Stearne Skyner,3/17/1955
Bringing Up Baby,Aventura,3.1,12681426.7,34702127.7,Benedicta Kuhnert,7/12/2021,Alane Ainger,5/7/1963
Chasers,Musical,3.15,11197055.89,20445269.97,Stacy Thackham,8/9/1945,Aidan Orcott,10/25/1995
The Man Without a Map,Suspense,3.69,15884277.61,46597584.23,Allard Batts,9/23/1983,Bevon Hurlston,1/6/1964
"Thomas Crown Affair, The",Histórico,2.9,8466357.02,15201931.36,Westleigh Likly,5/1/1984,Boy Shickle,6/26/1997
Cats Don't Dance,Ciencia ficción,1.64,12257251.59,19009631.67,Ashlen Windham,1/7/1980,Nikolas Diggar,2/22/1944
Skylark,Histórico,1.04,24954074.69,66724302.16,Karie Jenicke,11/3/2018,Onida Yantsurev,12/23/1971
Life During Wartime,Fantasía,2.72,15047165.33,31850116.37,Kenny Bickerdicke,1/14/2018,Merla Kissock,12/8/2006
Gleaming the Cube,Ciencia ficción,2.37,20960594.59,29792206.32,Mia Storry,10/8/1998,Jeanna Shorthill,12/2/1930
Hana and Alice (Hana to Arisu),Animación,1.91,22609335.25,66322062.39,Roselin McVrone,10/21/1989,Libbie Chadwin,5/7/1967
"Climb, The",Cine negro,3.29,14104319.84,29561844.13,Deena Gorling,3/6/1949,Petrina Dunkerly,8/20/1981
Gagarin: First in Space,Misterio,1.81,11806644.32,23260192.52,Douglass Capstake,7/28/1964,Eirena Sullivan,11/25/2013
Face,Ciencia ficción,1.49,6519267.57,14622354.93,Waylan Densumbe,5/31/1979,Tabb McAughtrie,6/3/2017
Carson City,Comedia,3.84,5183537.41,14601302.92,Edwina Kenway,5/25/2012,Calli Andrews,4/30/2004
Side by Side,Fantasía,1.31,11682700.85,34271167.24,Ronnie Bento,7/11/1960,Bancroft Rowcastle,3/19/1993
Paddington,Acción,3.68,25753293.12,45418668.75,Rani Jimmes,10/20/1930,Dannye Hekkert,9/19/2022
Dr. Moreau's House of Pain,Terror,3.55,5810869.91,14748105.83,Cortie Slingsby,4/27/1995,Pattie Habben,5/5/2017
"Sword of Doom, The (Dai-bosatsu tôge)",Comedia,2.26,6942262.67,10361905.48,Marlie Sagg,7/26/1944,Otis Perkinson,8/26/1970
Future Weather,Comedia,2.15,24348506.55,54705066.94,Melosa Liddiard,8/5/2022,Earl St. Ledger,8/9/2008
Barfi!,Romance,1.34,28522634.64,74644287.98,Helenka Rizzotto,11/20/1995,Rebeca McNaught,3/5/1973
Miss You Can Do It,Bélico,1.08,28001925.38,78053381.87,Anica Clemendot,9/18/1985,Elfie Rayner,5/21/2012
